period,value,region,indID,dsID,source,is_number
2004,695,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,825,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,586,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,838,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,1049,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,1379,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,1659,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,1620,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,1952,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,10049,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,9280,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,11379,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,17076,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,15287,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,17564,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,11825,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,17576,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,16810,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,12260,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,16559,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,14981,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,18289,BGD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,300,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,319,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,706,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,751,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,670,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,624,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,803,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,851,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,615,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,738,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,730,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,745,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,741,BOL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,11,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,9,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,1036,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,27,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,75,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,607,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,78,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,133,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,192,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,280,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,352,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,337,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,339,BWA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,595,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,29676,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,27354,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,36676,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,34391,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,46900,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,233642,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,309322,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,323356,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,357439,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,358952,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,348062,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,254307,CAF,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,29744,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,3776,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,147552,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,96043,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,83283,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,95744,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,757066,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,744653,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,737759,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,714813,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,585861,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,768538,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,270725,CIV,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,5844,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,7983,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,8072,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,9724,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,11780,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,21406,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,13813,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,14641,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,21234,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,18081,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,17131,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,20177,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,18786,CMR,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,0,COD,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,463956,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,482880,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,559153,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,653164,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,594757,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,575018,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,2084779,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,2792511,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,1923884,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,2657298,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,2740125,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,3114035,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,3629815,COG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,539557,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,753419,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,1002536,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,1305127,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,2068961,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,2080204,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,3094725,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,3113227,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,3426167,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,3758067,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,4127986,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,4326827,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,4356236,COL,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,4905,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,799,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,2706,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,839,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,8983,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,8390,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,1842,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,2535,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,721,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,784,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,798,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,889,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,910,DJI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,97,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,172,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,227,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,217,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,246,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,146,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,273,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,493,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,588,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,637,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,642,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,602,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,615,DOM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,10367,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,11162,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,14472,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,13590,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,12021,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,13432,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,9897,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,11971,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,10596,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,9731,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,8402,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,8112,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,8028,DZA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,5126,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,6138,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,8465,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,7832,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,7665,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,8727,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,10248,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,10053,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,10785,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,11110,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,9011,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,12332,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,15724,EGY,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,1479439,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,336138,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,344001,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,126952,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,133960,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,148100,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,198824,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,220958,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,201653,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,223562,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,236070,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,266126,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,305850,ERI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,129297,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,122000,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,100005,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,82738,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,85830,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,85806,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,96663,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,112312,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,105755,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,112651,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,117777,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,109634,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,121462,ETH,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,51942,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,83675,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,48081,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,36762,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,41898,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,38742,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,63762,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,16561,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,11986,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,13900,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,14884,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,17816,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,29040,GIN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,1035,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,3042,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,1147,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,1235,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,1494,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,2387,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,2324,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,2331,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,2749,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,3318,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,3330,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,3537,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,5099,GMB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,1590,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,2128,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,1287,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,1319,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,1251,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,1300,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,1335,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,1317,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,1344,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,1453,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,1483,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,1625,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,2049,GNB,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,122544,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,116419,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,110004,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,95285,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,63020,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,35229,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,27030,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,21159,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,16187,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,14881,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,6708,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,7195,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,7689,GTM,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,2090,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,1939,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,1922,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,1809,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,1751,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,1762,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,2393,HND,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
